state,x,y
Andhra Pradesh,-72.99999999999999,-223.0
Arunachal Pradesh,270.0,170.0
Assam,250.0,103.0
Bihar,99.0,67.0
Chhattisgarh,8.000000000000002,-43.0
Goa,-196.0,-205.0
Gujarat,-248.0,-1.0000000000000306
Haryana,-144.0,172.0
Himachal Pradesh,-115.0,229.0
Jharkhand,77.0,24.0
Karnataka,-141.0,-264.0
Kerala,-132.99999999999997,-349.0
Madhya Pradesh,-93.0,-2.0000000000000107
Maharashtra,-161.0,-104.0
Manipur,280.0,56.0
Meghalaya,221.0,76.0
Mizoram,277.0,19.0
Nagaland,289.0,89.0
Odisha,70.0,-70.0
Punjab,-151.0,204.0
Rajasthan,-195.0,98.0
Sikkim,153.0,119.0
Tamil Nadu,-91.99999999999996,-315.0
Telangana,-64.0,-145.0
Tripura,236.0,37.0
Uttarakhand,-67.99999999999999,189.0
Uttar Pradesh,-13.999999999999996,95.0
West Bengal,137.0,6.0
