state,x,y
Alabama,142.0,-94.0
Alaska,-198.0,-179.0
Arizona,-201.0,-56.0
Arkansas,64.0,-45.0
California,-282.0,-17.0
Colorado,-107.0,14.0
Connecticut,316.0,85.0
Delaware,275.0,42.0
Florida,227.0,-160.0
Georgia,188.0,-79.0
Hawaii,-312.0,-144.0
Idaho,-201.0,101.0
Illinois,97.0,27.0
Indiana,140.0,39.0
Iowa,45.0,61.0
Kansas,-16.0,0.0
Kentucky,150.0,-11.0
Louisiana,75.0,-130.0
Maine,322.0,176.0
Maryland,288.0,27.0
Massachusetts,281.0,112.0
Michigan,152.0,91.0
Minnesota,37.0,133.0
Mississippi,100.0,-111.0
Missouri,64.0,-15.0
Montana,-135.0,151.0
Nebraska,-38.0,54.0
Nevada,-249.0,48.0
New Hampshire,304.0,124.0
New Jersey,317.0,55.0
New Mexico,-123.0,-57.0
New York,250.0,94.0
North Carolina,226.0,-31.0
North Dakota,-37.0,152.0
Ohio,182.0,42.0
Oklahoma,-1.9999999999999984,-50.0
Oregon,-278.0,128.0
Pennsylvania,238.0,62.0
Rhode Island,312.0,73.0
South Carolina,221.0,-56.0
South Dakota,-37.0,101.0
Tennessee,138.0,-37.0
Texas,-28.0,-116.0
Utah,-185.0,23.0
Vermont,289.0,137.0
Virginia,244.0,3.0
Washington,-262.0,183.0
West Virginia,210.0,18.0
Wisconsin,83.0,113.0
Wyoming,-125.0,83.0
